token_address,current_price,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,token_name,token_symbol,current_price_usd
91r38hutcehfmsxoc4nxvkr27sghg5xhe37zmcfyfdmd,,2024-04-28_12-14-19,30m,105,127,$1.4K,105,-0.73%,494%,494%,494%,$1.2K,$99K,CatShit,Cshit,$0.00001993
dkc2wumdmkybylkgz2tjbrjoxkgmpyyzvbocl5ntymwy,,2024-04-28_12-14-19,30m,2445,"1,668",$1.0M,"1,471",-18.35%,38.15%,38.15%,38.15%,$28K,$78K,His Meowjesty,MYRK,$0.00007872
22ss5qtqwdfr9mpaf7srj8iq6ggxv7g6s4bfjpqiakjy,,2024-04-28_12-14-19,32m,170,23,$13K,60,7.63%,49.36%,49.36%,49.36%,$143K,$88K,Bidenwifhat,Bidenwif,$0.058902
cgqobd8eqsaypkyjqzrntimkua97b22bbvemoxam2rmm,,2024-04-28_12-14-19,34m,185,84,$14K,185,-14.77%,-54.23%,-54.23%,-54.23%,$4.9K,$16K,SOLWIFHAT ,SOLWIF ,$0.0003397
avgve9ipfoajzhx5dgbn3yxse1ogdwrps7imwhffs1uv,,2024-04-28_12-14-19,35m,338,257,$44K,291,0.62%,120%,120%,120%,$4.3K,$3.2K,Badman,BADMAN,$0.0003236
gmt2s2favmk3rypdrjklwqcsussekftggndcdebxrrbd,,2024-04-28_12-14-19,44m,1426,"1,063",$346K,"1,080",35.92%,117%,117%,117%,$34K,$119K,HEN,HEN,$0.0001216
6hhmh4pxzwzhesurdnwydpf4ube5yqwmi5hj8chpmhus,,2024-04-28_12-14-19,48m,501,554,$195K,540,-0.38%,-93.46%,-93.46%,-93.46%,$5.9K,$3.6K,PumpMyPain,$PAIN,$0.053667
faywhtfoz1vbsxixr1djy2iqff36ygjmug9h8vczukv,,2024-04-28_12-14-19,48m,300,748,$39K,343,-1.28%,-38.36%,-38.36%,-38.36%,$2.6K,$1.7K,andrew taint,Gtaint,$0.0001762
j4gqtqxj2mmjrdzgtk7xhussbd3qtk79ulwbmecxn73u,,2024-04-28_12-14-19,51m,112,39,$5.8K,107,0.46%,31.52%,31.52%,31.52%,$10K,$12K,buff cat,BUFF,$0.00001242
8jnjmwxwnfeg2fszmyx5b5ksomrnmxuovfhaexqusghu,,2024-04-28_12-14-19,52m,393,118,$88K,236,0.72%,36.79%,36.79%,36.79%,$936K,$547K,GROK Of Memes,GOM,$0.00005478
jdmlx5yggg4gzq5ccbzvspn8msqgadkexffpsnetfm2n,,2024-04-28_12-14-19,57m,56,25,$1.5K,52,0%,7.44%,7.44%,7.44%,$23K,$12K,404 Ecosystem ⬛️,SPL404,$0.00001217
eh4vlnc5bczg2jtgb1dwcb8krmmzbat8rtyted2z5g8z,,2024-04-28_12-14-19,1h 13m,2848,"1,956",$909K,"1,857",-35.32%,-62.33%,-9.33%,-9.33%,$23K,$50K,Nentendo CTO,NENT,$0.00005083
4uznwwbiqpszwah9v6bdrnude93aysuwkv6a2pehj4at,,2024-04-28_12-14-19,1h 17m,1335,"1,067",$257K,969,-9.84%,-88.67%,81.39%,81.39%,$3.2K,$3.2K,BRETTA,BRETTA,$0.053209
12kwbamk6ztazlof3esp1k26kaauvqdjznza4en9ttbf,,2024-04-28_12-14-19,1h 20m,0,1,$4.3K,1,0%,0%,0%,0%,$9.9K,$1.8M,China Coin,CHINA,$0.001971
fb3kkn18jdfp2xvhuajhzhobpm3i8wpsb3tkndmvweqj,,2024-04-28_12-14-19,1h 28m,625,660,$174K,673,0%,-11.54%,-94.11%,-94.11%,$5.6K,$3.2K,Solzilla,Zilla,$0.053266
donz7k5p4zi3acik5hy2yjvmpvshvuudbbhwwojpa4az,,2024-04-28_12-14-19,1h 31m,11,0,$2.3K,2,0%,0.08%,1.84%,1.84%,$6.6K,$284.6M,Jupiter Perps LP,JLP,$2.62
