token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
TRANNYMANIACS,TRANY,9ix8wjt4fjkd7tufgrzzebqfkfnznubwbiragmtedyxo,0.055259,2024-04-29_16-24-35,1980,178,280,16000.0,156,0,0,-13.28,-13.28,10000.0,526.0
ALIEN PEPE,$ALIENPEPE,fzydor5cgumfgaeg4cxlzeljoywguxivqkm4vfzwaus6,0.052576,2024-04-29_16-24-35,2040,900,829,183000.0,717,0,-4.64,27.03,27.03,34000.0,25000.0
Solintel,INTEL,bwqy1qshdufgazsmgwruqxnqh3d5uwd8hfh93kiee8sp,0.066581,2024-04-29_16-24-35,2220,66,78,17000.0,76,0,0,-71.22,-71.22,13000.0,658.0
Cobra,Cobra,7l9qnuoexs1ymazznfwdpbzu3ebc6xw8qpgha6mdozbm,0.00002960,2024-04-29_16-24-35,2280,2370,1410,871000.0,328,-0.04,1.01,73.73,73.73,456000.0,296000.0
The Cheshire Cat,CHESHIRE,3smbe98i7ufnlsiz1kvibivnhut1upjduyuievssaebn,0.00003797,2024-04-29_16-24-35,2340,442,537,52000.0,315,0,11.38,217,217,29000.0,37000.0
Kawaii Cat Samurai,CatSamurai,2umhhnde8kfavfgtbspjuyza4epbesjvxxcxao1bow6r,0.00008592,2024-04-29_16-24-35,2400,155,356,19000.0,190,0,0,-57.62,-57.62,15000.0,859.0
Peaver,PVER,3mbgab8ksrdu89yyaf6h2miuqrxn26knzuel3iuwnaps,0.0003679,2024-04-29_16-24-35,2400,1296,1048,769000.0,862,-0.06,22.47,431,431,14000.0,36000.0
Pepe Wif War,PEPEWWAR,dcp7w7w8xquqy2uxchktjy3kduu65x8whbpbkkw4k1wd,0.051105,2024-04-29_16-24-35,2460,62,84,742.0,62,0,0,17.51,17.51,13000.0,11000.0
Vitamin G,G,hs5jhr2xdrtcnxhefhirlm4usnuekaz5n7lirhdzatsj,0.0001775,2024-04-29_16-24-35,2700,531,517,69000.0,466,0,-7.67,-58.56,-58.56,28000.0,17000.0
PEPE COLA,PEPECOLA,6sjuhwlvaxrjj3wn4dhzwuqwgbdijqvv4j9zwfkmsqfe,0.055796,2024-04-29_16-24-35,2760,34559,6364,11000000.0,2342,0.60,5.63,43.54,43.54,297000.0,579000.0
Hiko The Meow,HIKO,6hfnwnt2xout57fvqmsadzauveyg4tmlpkrtfcqlbzng,0.00002955,2024-04-29_16-24-35,2940,2136,1701,745000.0,1301,0,-5.84,-42.65,-42.65,17000.0,29000.0
Kookie Clicker,KOOKIE,128ca9x5cvwbekktfkcbjltt2ezqsfgh1wekwdqedja3,0.057690,2024-04-29_16-24-35,2940,185,232,16000.0,157,0,0,11.81,11.81,14000.0,769.0
CZ In Prison,REMEMBER4,3wgxt4tkzpdnxohgqydwb9k1uqvigc2yzswxiuebaubw,0.051055,2024-04-29_16-24-35,3240,520,775,139000.0,337,-0.11,0.18,47.65,47.65,17000.0,10000.0
